text,label
Please coordinate with the IT department for technical support,1
Could you finalize the presentation by tomorrow,1
Can you take care of talking to the clients?,0
Keep up the high quality standards!,0
Could you prepare the financial projections for next quarter,1
Check out the report I sent.,0
Thanks for handling this quickly!,0
Please ensure all tasks are completed by the deadline,1
Mind if I check this out?,0
Sorry for the mix-up before.,0
Being reliable keeps everything running smoothly!,0
Could you handle the client onboarding process,1
Could you prepare a summary of the meeting outcomes,1
Thank you for your continued dedication,1
Your leadership during the crisis was commendable,1
Let’s tackle the client's worries right away.,0
Your positive attitude has a significant impact on the team,1
Your leadership has really driven our success!,0
Can you finish the training docs for the workshop?,0
Please submit your feedback by the end of the day,1
Thanks for being flexible while we’re switching things up!,0
Could you oversee the implementation process,1
We're beefing up our cyber defenses to keep data safe!,0
You're doing an awesome job!,0
Make sure all the data is logged correctly.,0
Let me know as soon as you can.,0
I would like to schedule a follow-up meeting,1
Please review the updated policy document,1
We are committed to delivering projects on schedule,1
Could you prepare the meeting minutes,1
Your good vibes really lift the team's spirits!,0
Sync up with IT if you need tech help.,0
Please update the team on the latest developments,1
Please review the updated meeting minutes and provide feedback,1
Could you clarify your last statement,1
Your leadership has inspired the entire team,1
Could you review the latest draft of the document,1
We are launching a new marketing campaign,1
Make sure we review all contracts carefully.,0
Can you finish the slides by tomorrow?,0
We’re rolling out new tools to make things run smoother!,0
You're really good at adapting!,0
Could you manage the upcoming event,1
We're working hard to make things better.,0
We must ensure compliance with all standards,1
Make this task top priority to hit our targets.,0
Your creativity has enhanced our projects,1
Check out the client's feedback and reply as needed.,0
Your skills have been a huge help!,0
""" Keep this info to yourself, okay?""",0
Thank you for your meticulous work,1
Can you manage the customer satisfaction surveys?,0
We are enhancing our cybersecurity measures to protect data,1
We must adhere to the project's ethical guidelines,1
Sorry for the sudden changes causing trouble.,0
Thanks for being so detail-oriented!,0
Sorry the staffing changes caused trouble.,0
Can you tweak the project plan based on that?,0
Can you jot down the notes from the meeting?,0
Can you put together a recap of what we decided in the meeting?,0
Nice to meet you!,0
We are committed to fostering a supportive work environment,1
Could you coordinate with the external partners,1
Can you help me out?,0
Make sure you send the reports correctly and by the deadline.,0
Sorry for telling you this last minute.,0
Can you help with getting the new hires settled?,0
We're starting a fresh training program next month!,0
We are expanding our operations internationally,1
Thanks for always being reliable and performing well!,0
We are enhancing our customer support,1
We are implementing new strategies to enhance productivity,1
We're upgrading how we communicate internally!,0
Please review the attached report,1
Thanks for always supporting us!,0
Your input has been crucial for our wins!,0
Please ensure all safety measures are in place,1
Your taking charge has made things way better!,0
Sorry the system update caused trouble.,0
Could you finalize the budget proposal,1
Make sure we follow all the standards.,0
Your reliability ensures smooth operations,1
Make sure all the gear is working right.,0
We need you to join in!,0
Your cool ideas are pushing the project ahead!,0
Stick to the top quality standards.,0
Thanks for always striving to get better!,0
Can we talk about your career growth?,0
Sorry the delivery was late and caused trouble.,0
We must prioritize this task to meet our goals,1
Please ensure all communications are clear and concise,1
Thank you for your outstanding contributions to the project,1
Can you take care of the event logistics?,0
You’ve inspired everyone with how you lead!,0
Your expertise has greatly benefited the project,1
